txn_date_time,transaction_id,customer_id,policy_number,policy_eff_dt,loss_dt,report_dt,insurance_type,premium_amount,claim_amount,customer_name,address_line1_x,address_line2_x,city_x,state_x,postal_code_x,ssn,marital_status,age,tenure,employment_status,no_of_family_members,risk_segmentation,house_type,social_class,routing_number,acct_number,customer_education_level,claim_status,incident_severity,authority_contacted,any_injury,police_report_available,incident_state,incident_city,incident_hour_of_the_day,agent_id,vendor_id,vendor_name,address_line1_y,address_line2_y,city_y,state_y,postal_code_y,agent_name,date_of_joining,address_line1,address_line2,city,state,postal_code,emp_routing_number,emp_acct_number,policy_age_days,report_delay_days,processing_delay,agent_experience_days,vendor_claim_count,anomaly_score,fraud_flag
2020-06-01,TXN00000001,A00003822,PLC00008468,2015-06-23,2020-05-16,2020-05-21,Health,1.4203372594675834,-0.3432427336678251,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308,087-11-1946,Y,54,89,Y,3,L,Own,LI,109134974,HXJP58258181908465,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556,Ramsey Inc,3114 West 20th Court,0,Panama City,FL,32405.0,Amy Wangler,1994-01-06,584 Rural Hill Road,0,Nashville,TN,37217,35441155,LRZO53254369804934,-0.2986756153124663,0.9091880703409976,0.9317113072785348,1.2293326986571154,16,0.05728394699773143,0
2020-06-01,TXN00000002,A00008149,PLC00009594,2018-04-21,2020-05-13,2020-05-18,Property,1.1011715335400811,0.4282085644646063,Ricardo Gatlin,8595 West 81st Drive,0,Arvada,CO,80005,685-33-3536,N,61,80,Y,4,L,Rent,MI,40125819,JUND46859540983731,Bachelor,A,Total Loss,Ambulance,1,0,AL,Montgomery,0,AGENT00769,VNDR00592,"Morales, Campbell and Washington",42 West Louise Street,B,Fayetteville,AR,72701.0,Jessica Montez,2004-05-28,6114 West Glenn Drive,#1,Glendale,AZ,85301,44055451,XBYG14382904542874,-1.3050212565566686,0.9091880703409976,1.6688830038356477,-0.0900450659855369,14,0.025460656427076178,0
2020-06-01,TXN00000003,A00003172,PLC00007969,2019-10-03,2020-05-21,2020-05-26,Property,1.4226140577718651,-0.1617247811660765,Lashawn Engles,637 Britannia Drive,0,Vallejo,CA,94591,378-36-0672,N,47,68,Y,6,L,Rent,MI,99513168,WGZZ90128415227650,PhD,A,Total Loss,Police,0,1,CO,Grand Junction,19,AGENT00883,VNDR00031,Johnson Ltd,2619 North Quality Lane,#315,Fayetteville,AR,72703.0,Howard Smith,2004-08-01,2500 Snowdoun Chambers Road,0,Montgomery,AL,36105,55770246,WRXH14597428306333,-1.8120795815851176,0.9091880703409976,-0.2969081869833199,-0.1098461540804899,25,0.037405912499964944,0
2020-06-01,TXN00000004,A00007572,PLC00009292,2016-11-29,2020-05-14,2020-05-19,Health,1.7461263986439053,-0.0255863167897651,Steven Bassett,2803 River Drive,0,Thunderbolt,GA,31404,669-92-1861,Y,36,16,Y,7,L,Mortgage,MI,18429110,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075,Blackwell-Foster,3609 Meadow Drive,0,Nashville,TN,37215.0,Patricia Tucker,2007-06-12,313 Lone Oak Drive,0,Norman,OK,73071,87652976,YEPN16077902472499,-0.810590820848851,0.9091880703409976,1.4231591049832764,-0.4752978150610244,20,0.01373766150432465,0
2020-06-01,TXN00000005,A00008173,PLC00000204,2011-12-26,2020-05-17,2020-05-22,Travel,0.000443044251847,-0.6155196624204478,Jason Rodriguez,7573 National Drive,0,Livermore,CA,94550,703-40-1033,Y,51,16,Y,2,M,Rent,HI,70752391,VYJW71311537294027,Masters,A,Major Loss,Police,0,1,TN,Nashville,18,AGENT00636,VNDR00472,Evans-Scott,4001 19th Place Northeast,0,Washington,DC,20018.0,Brenda Bean,2010-01-19,120 Wells Avenue,0,Glen Burnie,MD,21061,76119019,HZBK86544578578547,0.9408002903126326,0.9091880703409976,0.6859874084261636,-0.8049685624664685,16,0.06943729324742959,0
2020-06-01,TXN00000007,A00007245,PLC00002796,2012-10-26,2020-05-13,2020-05-18,Health,2.25033373221031,-0.6155196624204478,Dennis Johnson,5119 Marla Drive,0,Panama City,FL,32404,539-25-2348,Y,61,20,Y,7,L,Rent,MI,72461648,ZCMU49563664563577,0,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150,Moreno LLC,1261 Sioux Terrace,0,Nashville,TN,37115.0,Edgar Talley,2013-06-02,44 Elm Street,0,East Longmeadow,MA,1028,29678921,FBBJ92261917454231,0.6406450749222286,0.9091880703409976,1.6688830038356477,-1.2336447503466774,16,0.029382283991960856,0
2020-06-01,TXN00000008,A00004301,PLC00002925,2018-12-30,2020-05-14,2020-05-19,Motor,-0.098080227824347,-0.3886222217932622,Maryalice Martinez,6 Little Country Place,0,Savannah,GA,31406,791-66-5539,Y,35,97,Y,3,L,Rent,MI,89467431,ZLMN59372702463649,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326,Stewart Ltd,1729 Frankford Street Southeast,0,Washington,DC,20020.0,John Hensel,1995-11-11,10124 Watsonville Road,0,Louisville,KY,40272,51435255,UVWP07029161363261,-1.5498080341566096,0.9091880703409976,1.4231591049832764,0.9944987416011823,24,0.04963599344087477,0
2020-06-01,TXN00000009,A00004671,PLC00006886,2019-06-27,2020-05-21,2020-05-26,Motor,-0.1318182390605227,-0.5247606861695736,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202,427-41-7221,N,27,118,Y,4,H,Mortgage,MI,107890252,EVZR61264221554624,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437,Hanson Inc,910 Arlington Terrace,0,Fayetteville,AR,72701.0,Peter Thomas,2017-10-12,1010 M Street Northwest,0,Washington,DC,20001,92228117,VHVZ90875461509264,-1.7168847236295854,0.9091880703409976,-0.2969081869833199,-1.7842539543905438,17,0.028269151142695015,0
2020-06-01,TXN00000011,A00007952,PLC00003007,2019-03-30,2020-05-20,2020-05-25,Life,-0.5600633019295255,3.423254780743457,Janet Watts,200 Redwood Road,0,Manchester,CT,6040,233-66-3524,N,59,14,Y,7,M,Mortgage,MI,58804083,CQZQ73037026635053,Masters,A,Major Loss,Ambulance,1,1,MD,Crofton,23,AGENT01091,VNDR00163,Foster-Sanchez,4255 Tanager Common,0,Fremont,CA,94555.0,Joshua Losey,2004-10-09,2246 West Fairview Avenue,0,Montgomery,AL,36108,123461076,YIAT74328087165676,-1.6314036266899234,0.9091880703409976,-0.0511842881309487,-0.1341632798111338,14,0.0022671158364701016,0
2020-06-01,TXN00000013,A00003693,PLC00007839,2019-06-12,2020-05-24,2020-05-27,Health,1.4373097559176835,-0.2524837574169508,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515,115-30-1247,Y,57,118,Y,3,M,Mortgage,LI,74438433,NAUY34845981013549,Bachelor,A,Major Loss,0,0,1,KY,Louisville,22,AGENT00015,VNDR00191,Armstrong-Ramirez,200 Boulder Road,0,Manchester,CT,6040.0,Charles George,1998-01-31,4717 Forest Hills Drive,0,Noble,OK,73068,112506777,PEUK68232037630713,-1.6993999538010185,-0.1076870782341027,-0.5426320858356908,0.7158939582300903,16,0.022699431147278126,0
